pincode,coordinates
600971,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600972,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600973,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600974,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600975,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600976,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600977,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600978,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600979,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600980,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600981,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600982,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600983,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600984,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600985,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600986,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600987,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600988,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600989,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600990,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600991,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600992,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600993,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600994,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600995,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600996,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600997,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600998,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600999,"{'latitude': 56.130619049072266, 'longitude': 40.4079475402832}"
601000,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601001,"{'latitude': 45.53518, 'longitude': 25.41214}"
601002,"{'latitude': 45.53518, 'longitude': 25.41214}"
601003,"{'latitude': 45.53518, 'longitude': 25.41214}"
601004,"{'latitude': 45.53518, 'longitude': 25.41214}"
601005,"{'latitude': 45.53518, 'longitude': 25.41214}"
601006,"{'latitude': 45.53518, 'longitude': 25.41214}"
601007,"{'latitude': 45.53518, 'longitude': 25.41214}"
601008,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601009,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601010,"{'latitude': 56.16282272338867, 'longitude': 38.86983871459961}"
601011,"{'latitude': 45.53518, 'longitude': 25.41214}"
601012,"{'latitude': 56.13529968261719, 'longitude': 38.8699951171875}"
601013,"{'latitude': 45.53518, 'longitude': 25.41214}"
601014,"{'latitude': 45.53518, 'longitude': 25.41214}"
601015,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601016,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601017,"{'latitude': 45.53518, 'longitude': 25.41214}"
601018,"{'latitude': 45.53518, 'longitude': 25.41214}"
601019,"{'latitude': 45.53518, 'longitude': 25.41214}"
601020,"{'latitude': 1.32204, 'longitude': 103.74091}"
601021,"{'latitude': 1.32204, 'longitude': 103.74091}"
601022,"{'latitude': 1.32204, 'longitude': 103.74091}"
601023,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601024,"{'latitude': 56.11093521118164, 'longitude': 38.618778228759766}"
601025,"{'latitude': 25.98067, 'longitude': 79.46254}"
601026,"{'latitude': 45.53518, 'longitude': 25.41214}"
601027,"{'latitude': 25.98067, 'longitude': 79.46254}"
601028,"{'latitude': 45.53518, 'longitude': 25.41214}"
601029,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601030,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601031,"{'latitude': 45.53518, 'longitude': 25.41214}"
601032,"{'latitude': 45.53518, 'longitude': 25.41214}"
601033,"{'latitude': 45.53518, 'longitude': 25.41214}"
601034,"{'latitude': 25.98067, 'longitude': 79.46254}"
601035,"{'latitude': 1.32204, 'longitude': 103.74091}"
601036,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601037,"{'latitude': 1.32204, 'longitude': 103.74091}"
601038,"{'latitude': 25.98067, 'longitude': 79.46254}"
601039,"{'latitude': 25.98067, 'longitude': 79.46254}"
601040,"{'latitude': 45.53518, 'longitude': 25.41214}"
601041,"{'latitude': 1.32204, 'longitude': 103.74091}"
601042,"{'latitude': 45.53518, 'longitude': 25.41214}"
601043,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601044,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601045,"{'latitude': 25.98067, 'longitude': 79.46254}"
601046,"{'latitude': 25.98067, 'longitude': 79.46254}"
601047,"{'latitude': 45.53518, 'longitude': 25.41214}"
601048,"{'latitude': 45.53518, 'longitude': 25.41214}"
601049,"{'latitude': 25.98067, 'longitude': 79.46254}"
601050,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601051,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601052,"{'latitude': 45.53518, 'longitude': 25.41214}"
601053,"{'latitude': 45.53518, 'longitude': 25.41214}"
601054,"{'latitude': 45.53518, 'longitude': 25.41214}"
601055,"{'latitude': 25.98067, 'longitude': 79.46254}"
601056,"{'latitude': 25.98067, 'longitude': 79.46254}"
601057,"{'latitude': 1.32204, 'longitude': 103.74091}"
601058,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601059,"{'latitude': 45.53518, 'longitude': 25.41214}"
601060,"{'latitude': 45.53518, 'longitude': 25.41214}"
601061,"{'latitude': 25.98067, 'longitude': 79.46254}"
601062,"{'latitude': 1.32204, 'longitude': 103.74091}"
601063,"{'latitude': 1.32204, 'longitude': 103.74091}"
601064,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601065,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601066,"{'latitude': 25.98067, 'longitude': 79.46254}"
601067,"{'latitude': 25.98067, 'longitude': 79.46254}"
601068,"{'latitude': 45.53518, 'longitude': 25.41214}"
601069,"{'latitude': 45.53518, 'longitude': 25.41214}"
601070,"{'latitude': 25.98067, 'longitude': 79.46254}"
601071,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601072,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601073,"{'latitude': 25.98067, 'longitude': 79.46254}"
601074,"{'latitude': 25.98067, 'longitude': 79.46254}"
601075,"{'latitude': 45.53518, 'longitude': 25.41214}"
601076,"{'latitude': 25.98067, 'longitude': 79.46254}"
601077,"{'latitude': 25.98067, 'longitude': 79.46254}"
601078,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601079,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601080,"{'latitude': 45.53518, 'longitude': 25.41214}"
601081,"{'latitude': 25.98067, 'longitude': 79.46254}"
601082,"{'latitude': 45.53518, 'longitude': 25.41214}"
601083,"{'latitude': 25.98067, 'longitude': 79.46254}"
601084,"{'latitude': 45.53518, 'longitude': 25.41214}"
601085,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601086,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601087,"{'latitude': 45.53518, 'longitude': 25.41214}"
601088,"{'latitude': 45.53518, 'longitude': 25.41214}"
601089,"{'latitude': 25.98067, 'longitude': 79.46254}"
601090,"{'latitude': 45.53518, 'longitude': 25.41214}"
601091,"{'latitude': 45.53518, 'longitude': 25.41214}"
601092,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601093,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601094,"{'latitude': 25.98067, 'longitude': 79.46254}"
601095,"{'latitude': 25.98067, 'longitude': 79.46254}"
601096,"{'latitude': 25.98067, 'longitude': 79.46254}"
601097,"{'latitude': 25.98067, 'longitude': 79.46254}"
601098,"{'latitude': 45.53518, 'longitude': 25.41214}"
601099,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601100,"{'latitude': 13.035493850708008, 'longitude': 80.23014831542969}"
601101,"{'latitude': 13.33078670501709, 'longitude': 80.08553314208984}"
601102,"{'latitude': 13.274556159973145, 'longitude': 80.0929183959961}"
601103,"{'latitude': 13.214242935180664, 'longitude': 80.02410125732422}"
601104,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601105,"{'latitude': 45.53518, 'longitude': 25.41214}"
601106,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601107,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601108,"{'latitude': 45.53518, 'longitude': 25.41214}"
601109,"{'latitude': 45.53518, 'longitude': 25.41214}"
601110,"{'latitude': 55.94268798828125, 'longitude': 39.640079498291016}"
601111,"{'latitude': 45.53518, 'longitude': 25.41214}"
601112,"{'latitude': 55.96024703979492, 'longitude': 39.68652725219727}"
601113,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601114,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601115,"{'latitude': 25.98067, 'longitude': 79.46254}"
601116,"{'latitude': 55.95663070678711, 'longitude': 39.60871124267578}"
601117,"{'latitude': 25.98067, 'longitude': 79.46254}"
601118,"{'latitude': 25.98067, 'longitude': 79.46254}"
601119,"{'latitude': 25.98067, 'longitude': 79.46254}"
601120,"{'latitude': 55.91739654541016, 'longitude': 39.18359756469727}"
601121,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601122,"{'latitude': 45.53518, 'longitude': 25.41214}"
601123,"{'latitude': 45.53518, 'longitude': 25.41214}"
601124,"{'latitude': 45.53518, 'longitude': 25.41214}"
601125,"{'latitude': 55.9263801574707, 'longitude': 39.29045867919922}"
601126,"{'latitude': 25.98067, 'longitude': 79.46254}"
601127,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601128,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601129,"{'latitude': 25.98067, 'longitude': 79.46254}"
601130,"{'latitude': 55.86892318725586, 'longitude': 39.10044479370117}"
601131,"{'latitude': 45.53518, 'longitude': 25.41214}"
601132,"{'latitude': 45.53518, 'longitude': 25.41214}"
601133,"{'latitude': 25.98067, 'longitude': 79.46254}"
601134,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601135,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601136,"{'latitude': 45.53518, 'longitude': 25.41214}"
601137,"{'latitude': 25.98067, 'longitude': 79.46254}"
601138,"{'latitude': 25.98067, 'longitude': 79.46254}"
601139,"{'latitude': 45.53518, 'longitude': 25.41214}"
601140,"{'latitude': 55.94298553466797, 'longitude': 39.47135162353516}"
601141,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601142,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601143,"{'latitude': 45.53518, 'longitude': 25.41214}"
601144,"{'latitude': 55.923614501953125, 'longitude': 39.46568298339844}"
601145,"{'latitude': 25.98067, 'longitude': 79.46254}"
601146,"{'latitude': 25.98067, 'longitude': 79.46254}"
601147,"{'latitude': 45.53518, 'longitude': 25.41214}"
601148,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601149,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601150,"{'latitude': 45.53518, 'longitude': 25.41214}"
601151,"{'latitude': 25.98067, 'longitude': 79.46254}"
601152,"{'latitude': 25.98067, 'longitude': 79.46254}"
601153,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601154,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601155,"{'latitude': 25.98067, 'longitude': 79.46254}"
601156,"{'latitude': 25.98067, 'longitude': 79.46254}"
601157,"{'latitude': 25.98067, 'longitude': 79.46254}"
601158,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601159,"{'latitude': 25.98067, 'longitude': 79.46254}"
601160,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601161,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601162,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601163,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601164,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601165,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601166,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601167,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601168,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601169,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601170,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601171,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601172,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601173,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601174,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601175,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601176,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601177,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601178,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601179,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601180,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601181,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601182,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601183,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601184,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601185,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601186,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601187,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601188,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601189,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601190,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601191,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601192,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601193,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601194,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601195,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601196,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601197,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601198,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601199,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601200,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601201,"{'latitude': 13.406389236450195, 'longitude': 80.11157989501953}"
601202,"{'latitude': 13.40915584564209, 'longitude': 80.04265594482422}"
601203,"{'latitude': 13.281264305114746, 'longitude': 80.25950622558594}"
601204,"{'latitude': 13.332267761230469, 'longitude': 80.19892883300781}"
601205,"{'latitude': 13.399630546569824, 'longitude': 80.26142883300781}"
601206,"{'latitude': 13.335530281066896, 'longitude': 80.12104034423828}"
601207,"{'latitude': 13.050647735595703, 'longitude': 80.17788696289062}"
601208,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601209,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601210,"{'latitude': 55.993560791015625, 'longitude': 40.01903533935547}"
601211,"{'latitude': 13.463581085205078, 'longitude': 80.1126480102539}"
601212,"{'latitude': 56.076942443847656, 'longitude': 40.18375778198242}"
601213,"{'latitude': 12.978763580322266, 'longitude': 80.15840148925781}"
601214,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601215,"{'latitude': 1.33764, 'longitude': 103.74192}"
601216,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601217,"{'latitude': 1.33764, 'longitude': 103.74192}"
601218,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601219,"{'latitude': 1.33764, 'longitude': 103.74192}"
601220,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601221,"{'latitude': 1.33764, 'longitude': 103.74192}"
601222,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601223,"{'latitude': 1.33764, 'longitude': 103.74192}"
601224,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601225,"{'latitude': 1.33764, 'longitude': 103.74192}"
601226,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601227,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601228,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601229,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601230,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601231,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601232,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601233,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601234,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601235,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601236,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601237,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601238,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601239,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601240,"{'latitude': 1.34417, 'longitude': 103.73464}"
601241,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601242,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601243,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601244,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601245,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601246,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601247,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601248,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601249,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601250,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601251,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601252,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601253,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601254,"{'latitude': 1.34289, 'longitude': 103.74033}"
601255,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601256,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601257,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601258,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601259,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601260,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601261,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601262,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601263,"{'latitude': 56.59039688110352, 'longitude': 40.554683685302734}"
601264,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601265,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601266,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601267,"{'latitude': 1.33739, 'longitude': 103.74633}"
601268,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601269,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601270,"{'latitude': 56.20949172973633, 'longitude': 40.60700988769531}"
601271,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601272,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601273,"{'latitude': 1.33739, 'longitude': 103.74633}"
601274,"{'latitude': 1.33739, 'longitude': 103.74633}"
601275,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601276,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601277,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601278,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601279,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601280,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601281,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601282,"{'latitude': 1.33739, 'longitude': 103.74633}"
601283,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601284,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601285,"{'latitude': 1.33739, 'longitude': 103.74633}"
601286,"{'latitude': 1.33739, 'longitude': 103.74633}"
601287,"{'latitude': 1.33764, 'longitude': 103.74192}"
601288,"{'latitude': 1.33764, 'longitude': 103.74192}"
601289,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601290,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601291,"{'latitude': 56.43770980834961, 'longitude': 40.46059799194336}"
601292,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601293,"{'latitude': 56.43206787109375, 'longitude': 40.44149017333984}"
601294,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601295,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601296,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601297,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601298,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601299,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601300,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601301,"{'latitude': 12.88625144958496, 'longitude': 80.02124786376953}"
601302,"{'latitude': 12.953082084655762, 'longitude': 80.2044677734375}"
601303,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601304,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601305,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601306,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601307,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601308,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601309,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601310,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601311,"{'latitude': 1.34684, 'longitude': 103.73389}"
601312,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601313,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601314,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601315,"{'latitude': 56.20690155029297, 'longitude': 40.682559967041016}"
601316,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601317,"{'latitude': 1.34707, 'longitude': 103.73029}"
601318,"{'latitude': 1.34417, 'longitude': 103.73464}"
601319,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601320,"{'latitude': 1.34707, 'longitude': 103.73029}"
601321,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601322,"{'latitude': 1.34707, 'longitude': 103.73029}"
601323,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601324,"{'latitude': 1.34707, 'longitude': 103.73029}"
601325,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601326,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601327,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601328,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601329,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601330,"{'latitude': 56.34952926635742, 'longitude': 40.99677276611328}"
601331,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601332,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601333,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601334,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601335,"{'latitude': 1.34417, 'longitude': 103.73464}"
601336,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601337,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601338,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601339,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601340,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601341,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601342,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601343,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601344,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601345,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601346,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601347,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601348,"{'latitude': 55.93178939819336, 'longitude': 40.903587341308594}"
601349,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601350,"{'latitude': 55.97563934326172, 'longitude': 40.90468978881836}"
601351,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601352,"{'latitude': 55.95381546020508, 'longitude': 40.85897064208984}"
601353,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601354,"{'latitude': 1.34417, 'longitude': 103.73464}"
601355,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601356,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601357,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601358,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601359,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601360,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601361,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601362,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601363,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601364,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601365,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601366,"{'latitude': 56.102909088134766, 'longitude': 40.68470001220703}"
601367,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601368,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601369,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601370,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601371,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601372,"{'latitude': 1.34684, 'longitude': 103.73389}"
601373,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601374,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601375,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601376,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601377,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601378,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
601379,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
